station,train_no,destination,expected_arr,time_to_station,tfl_status,time
PYB,076,Edgware Road,2026-07-21T15:03:48Z,448,Good Service,2026-07-21 14:57:00.282633+00:00
PSG,062,Edgware Road,2026-07-21T15:03:49Z,471,Good Service,2026-07-21 14:57:00.388441+00:00
PSG,076,Edgware Road,2026-07-21T15:05:49Z,591,Good Service,2026-07-21 14:57:00.392751+00:00
FBY,062,Edgware Road,2026-07-21T15:05:49Z,614,Good Service,2026-07-21 14:57:00.490970+00:00
FBY,076,Edgware Road,2026-07-21T15:08:49Z,794,Good Service,2026-07-21 14:57:00.494200+00:00
WIP,076,Edgware Road,2026-07-21T14:56:39Z,19,Good Service,2026-07-21 14:57:21.770511+00:00
SFS,076,Edgware Road,2026-07-21T14:59:18Z,157,Good Service,2026-07-21 14:57:21.880096+00:00
EPY,062,Edgware Road,2026-07-21T14:59:18Z,156,Good Service,2026-07-21 14:57:22.043319+00:00
EPY,076,Edgware Road,2026-07-21T15:00:48Z,246,Good Service,2026-07-21 14:57:22.047490+00:00
PYB,062,Edgware Road,2026-07-21T15:00:48Z,246,Good Service,2026-07-21 14:57:22.248973+00:00
PYB,076,Edgware Road,2026-07-21T15:03:48Z,426,Good Service,2026-07-21 14:57:22.253268+00:00
PSG,062,Edgware Road,2026-07-21T15:03:49Z,471,Good Service,2026-07-21 14:57:22.402902+00:00
PSG,076,Edgware Road,2026-07-21T15:05:49Z,591,Good Service,2026-07-21 14:57:22.406531+00:00
FBY,062,Edgware Road,2026-07-21T15:05:49Z,547,Good Service,2026-07-21 14:57:22.509928+00:00
FBY,076,Edgware Road,2026-07-21T15:08:49Z,727,Good Service,2026-07-21 14:57:22.515467+00:00
WIP,076,Edgware Road,2026-07-21T14:56:39Z,19,Good Service,2026-07-21 14:57:43.577429+00:00
SFS,076,Edgware Road,2026-07-21T14:59:18Z,179,Good Service,2026-07-21 14:57:43.672971+00:00
EPY,062,Edgware Road,2026-07-21T14:58:47Z,103,Good Service,2026-07-21 14:57:44.353806+00:00
EPY,076,Edgware Road,2026-07-21T15:02:47Z,343,Good Service,2026-07-21 14:57:44.358458+00:00
PYB,062,Edgware Road,2026-07-21T15:00:48Z,268,Good Service,2026-07-21 14:57:44.471711+00:00
PYB,076,Edgware Road,2026-07-21T15:03:48Z,448,Good Service,2026-07-21 14:57:44.475179+00:00
PSG,062,Edgware Road,2026-07-21T15:03:18Z,374,Good Service,2026-07-21 14:57:44.718434+00:00
PSG,076,Edgware Road,2026-07-21T15:07:17Z,613,Good Service,2026-07-21 14:57:44.723063+00:00
FBY,062,Edgware Road,2026-07-21T15:05:18Z,493,Good Service,2026-07-21 14:57:44.832282+00:00
FBY,076,Edgware Road,2026-07-21T15:09:18Z,733,Good Service,2026-07-21 14:57:44.836263+00:00
SFS,076,Edgware Road,2026-07-21T14:59:48Z,142,Good Service,2026-07-21 14:58:06.354225+00:00
EPY,062,Edgware Road,2026-07-21T14:58:47Z,103,Good Service,2026-07-21 14:58:06.456404+00:00
EPY,076,Edgware Road,2026-07-21T15:02:47Z,343,Good Service,2026-07-21 14:58:06.459551+00:00
PYB,062,Edgware Road,2026-07-21T15:00:48Z,246,Good Service,2026-07-21 14:58:06.609729+00:00
PYB,076,Edgware Road,2026-07-21T15:03:48Z,426,Good Service,2026-07-21 14:58:06.614708+00:00
PSG,062,Edgware Road,2026-07-21T15:03:18Z,352,Good Service,2026-07-21 14:58:06.806242+00:00
PSG,076,Edgware Road,2026-07-21T15:07:17Z,591,Good Service,2026-07-21 14:58:06.809633+00:00
FBY,062,Edgware Road,2026-07-21T15:05:49Z,547,Good Service,2026-07-21 14:58:06.916725+00:00
FBY,076,Edgware Road,2026-07-21T15:08:49Z,727,Good Service,2026-07-21 14:58:06.921525+00:00
SFS,076,Edgware Road,2026-07-21T14:59:48Z,142,Good Service,2026-07-21 14:58:29.226047+00:00
EPY,062,Edgware Road,2026-07-21T14:58:16Z,27,Good Service,2026-07-21 14:58:29.361844+00:00
EPY,076,Edgware Road,2026-07-21T15:01:51Z,242,Good Service,2026-07-21 14:58:29.365744+00:00
PYB,062,Edgware Road,2026-07-21T15:00:48Z,179,Good Service,2026-07-21 14:58:29.505808+00:00
PYB,076,Edgware Road,2026-07-21T15:04:18Z,389,Good Service,2026-07-21 14:58:29.510554+00:00
PSG,062,Edgware Road,2026-07-21T15:03:18Z,329,Good Service,2026-07-21 14:58:29.630733+00:00
PSG,076,Edgware Road,2026-07-21T15:07:17Z,568,Good Service,2026-07-21 14:58:29.635111+00:00
FBY,062,Edgware Road,2026-07-21T15:05:22Z,453,Good Service,2026-07-21 14:58:29.741981+00:00
FBY,075,Edgware Road,2026-07-21T14:58:17Z,28,Good Service,2026-07-21 14:58:29.746434+00:00
FBY,076,Edgware Road,2026-07-21T15:08:22Z,633,Good Service,2026-07-21 14:58:29.751445+00:00
SFS,076,Edgware Road,2026-07-21T14:58:52Z,41,Good Service,2026-07-21 14:58:50.876187+00:00
