station,train_no,destination,expected_arr,time_to_station,tfl_status,time
WIP,071,Wimbledon,2026-07-21T15:09:35Z,1021,Good Service,2026-07-21 14:54:00.048154+00:00
WIP,072,Wimbledon,2026-07-21T15:19:35Z,1621,Good Service,2026-07-21 14:54:00.054321+00:00
SFS,054,Wimbledon,2026-07-21T15:03:35Z,660,Good Service,2026-07-21 14:54:00.162855+00:00
SFS,063,Wimbledon,2026-07-21T14:54:05Z,90,Good Service,2026-07-21 14:54:00.166598+00:00
SFS,070,Wimbledon,2026-07-21T14:57:35Z,300,Good Service,2026-07-21 14:54:00.170769+00:00
SFS,071,Wimbledon,2026-07-21T15:08:36Z,961,Good Service,2026-07-21 14:54:00.175794+00:00
SFS,072,Wimbledon,2026-07-21T15:17:36Z,1501,Good Service,2026-07-21 14:54:00.179495+00:00
EPY,054,Wimbledon,2026-07-21T15:02:41Z,561,Good Service,2026-07-21 14:54:00.350232+00:00
EPY,070,Wimbledon,2026-07-21T14:55:42Z,142,Good Service,2026-07-21 14:54:00.354085+00:00
EPY,071,Wimbledon,2026-07-21T15:07:41Z,861,Good Service,2026-07-21 14:54:00.358524+00:00
EPY,072,Wimbledon,2026-07-21T15:17:41Z,1461,Good Service,2026-07-21 14:54:00.362083+00:00
PYB,054,Wimbledon,2026-07-21T14:59:36Z,421,Good Service,2026-07-21 14:54:00.504472+00:00
PYB,070,Wimbledon,2026-07-21T14:53:06Z,31,Good Service,2026-07-21 14:54:00.509823+00:00
PYB,071,Wimbledon,2026-07-21T15:03:36Z,661,Good Service,2026-07-21 14:54:00.513703+00:00
PYB,072,Wimbledon,2026-07-21T15:13:35Z,1260,Good Service,2026-07-21 14:54:00.516463+00:00
PSG,054,Wimbledon,2026-07-21T14:57:41Z,261,Good Service,2026-07-21 14:54:00.660525+00:00
PSG,071,Wimbledon,2026-07-21T15:02:42Z,562,Good Service,2026-07-21 14:54:00.664547+00:00
PSG,072,Wimbledon,2026-07-21T15:12:41Z,1161,Good Service,2026-07-21 14:54:00.668203+00:00
FBY,054,Wimbledon,2026-07-21T14:53:41Z,66,Good Service,2026-07-21 14:54:00.769880+00:00
FBY,071,Wimbledon,2026-07-21T14:58:41Z,366,Good Service,2026-07-21 14:54:00.775367+00:00
FBY,072,Wimbledon,2026-07-21T15:08:42Z,967,Good Service,2026-07-21 14:54:00.780709+00:00
WIP,054,Wimbledon,2026-07-21T15:05:41Z,720,Good Service,2026-07-21 14:54:22.173370+00:00
WIP,063,Wimbledon,2026-07-21T14:56:11Z,150,Good Service,2026-07-21 14:54:22.178598+00:00
WIP,070,Wimbledon,2026-07-21T14:58:41Z,300,Good Service,2026-07-21 14:54:22.182630+00:00
WIP,071,Wimbledon,2026-07-21T15:10:41Z,1020,Good Service,2026-07-21 14:54:22.186096+00:00
WIP,072,Wimbledon,2026-07-21T15:20:41Z,1620,Good Service,2026-07-21 14:54:22.190446+00:00
SFS,054,Wimbledon,2026-07-21T15:03:42Z,644,Good Service,2026-07-21 14:54:22.285634+00:00
SFS,063,Wimbledon,2026-07-21T14:54:11Z,73,Good Service,2026-07-21 14:54:22.290068+00:00
SFS,070,Wimbledon,2026-07-21T14:57:11Z,253,Good Service,2026-07-21 14:54:22.293483+00:00
SFS,071,Wimbledon,2026-07-21T15:08:42Z,944,Good Service,2026-07-21 14:54:22.297449+00:00
SFS,072,Wimbledon,2026-07-21T15:18:42Z,1544,Good Service,2026-07-21 14:54:22.299600+00:00
EPY,054,Wimbledon,2026-07-21T15:02:41Z,561,Good Service,2026-07-21 14:54:22.438560+00:00
EPY,070,Wimbledon,2026-07-21T14:55:42Z,142,Good Service,2026-07-21 14:54:22.442501+00:00
EPY,071,Wimbledon,2026-07-21T15:07:41Z,861,Good Service,2026-07-21 14:54:22.445887+00:00
EPY,072,Wimbledon,2026-07-21T15:17:41Z,1461,Good Service,2026-07-21 14:54:22.449036+00:00
PYB,054,Wimbledon,2026-07-21T14:59:42Z,360,Good Service,2026-07-21 14:54:22.563528+00:00
PYB,071,Wimbledon,2026-07-21T15:04:42Z,660,Good Service,2026-07-21 14:54:22.566966+00:00
PYB,072,Wimbledon,2026-07-21T15:14:42Z,1260,Good Service,2026-07-21 14:54:22.571340+00:00
PSG,054,Wimbledon,2026-07-21T14:57:41Z,238,Good Service,2026-07-21 14:54:22.685040+00:00
PSG,071,Wimbledon,2026-07-21T15:02:42Z,539,Good Service,2026-07-21 14:54:22.689446+00:00
PSG,072,Wimbledon,2026-07-21T15:12:41Z,1138,Good Service,2026-07-21 14:54:22.693692+00:00
FBY,054,Wimbledon,2026-07-21T14:53:57Z,15,Good Service,2026-07-21 14:54:22.808235+00:00
FBY,071,Wimbledon,2026-07-21T14:58:39Z,297,Good Service,2026-07-21 14:54:22.812139+00:00
FBY,072,Wimbledon,2026-07-21T15:08:40Z,898,Good Service,2026-07-21 14:54:22.815844+00:00
WIP,054,Wimbledon,2026-07-21T15:04:40Z,636,Good Service,2026-07-21 14:54:44.166674+00:00
WIP,063,Wimbledon,2026-07-21T14:56:10Z,126,Good Service,2026-07-21 14:54:44.169702+00:00
WIP,070,Wimbledon,2026-07-21T14:58:10Z,246,Good Service,2026-07-21 14:54:44.173304+00:00
WIP,071,Wimbledon,2026-07-21T15:09:40Z,936,Good Service,2026-07-21 14:54:44.177052+00:00
WIP,072,Wimbledon,2026-07-21T15:20:40Z,1596,Good Service,2026-07-21 14:54:44.181179+00:00
SFS,054,Wimbledon,2026-07-21T15:03:39Z,575,Good Service,2026-07-21 14:54:44.311506+00:00
SFS,063,Wimbledon,2026-07-21T14:54:22Z,18,Good Service,2026-07-21 14:54:44.314840+00:00
SFS,070,Wimbledon,2026-07-21T14:56:09Z,125,Good Service,2026-07-21 14:54:44.317782+00:00
SFS,071,Wimbledon,2026-07-21T15:08:39Z,875,Good Service,2026-07-21 14:54:44.321488+00:00
SFS,072,Wimbledon,2026-07-21T15:18:39Z,1475,Good Service,2026-07-21 14:54:44.325568+00:00
EPY,054,Wimbledon,2026-07-21T15:01:39Z,455,Good Service,2026-07-21 14:54:44.478363+00:00
EPY,070,Wimbledon,2026-07-21T14:55:09Z,65,Good Service,2026-07-21 14:54:44.482010+00:00
